# Dend2 Dend3   Potential
5.000000000000000000e+00 1.500000000000000000e+01 2.600500433829508395e+01
5.000000000000000000e+00 1.600000000000000000e+01 2.667899141487023229e+01
5.000000000000000000e+00 1.700000000000000000e+01 2.719979591347697934e+01
5.000000000000000000e+00 1.800000000000000000e+01 2.761672585733161966e+01
5.000000000000000000e+00 1.900000000000000000e+01 2.796112111793750898e+01
5.000000000000000000e+00 2.000000000000000000e+01 2.825123511237652707e+01
5.000000000000000000e+00 2.100000000000000000e+01 2.849859381492132471e+01
5.000000000000000000e+00 2.200000000000000000e+01 2.871520363049992142e+01
5.000000000000000000e+00 2.300000000000000000e+01 2.890852299044166784e+01
5.000000000000000000e+00 2.400000000000000000e+01 2.907405693919586653e+01
5.000000000000000000e+00 2.500000000000000000e+01 2.922779724058863948e+01
5.000000000000000000e+00 2.600000000000000000e+01 2.936206591049273840e+01
5.000000000000000000e+00 2.700000000000000000e+01 2.948611507047280966e+01
5.000000000000000000e+00 2.800000000000000000e+01 2.959752782645245262e+01
5.000000000000000000e+00 2.900000000000000000e+01 2.969637725116142590e+01
6.000000000000000000e+00 0.000000000000000000e+00 -6.629169332216351052e+01
6.000000000000000000e+00 1.000000000000000000e+00 -6.537477649565136062e+01
6.000000000000000000e+00 2.000000000000000000e+00 -6.449648330622294168e+01
6.000000000000000000e+00 3.000000000000000000e+00 -6.364721740968122532e+01
6.000000000000000000e+00 4.000000000000000000e+00 -6.281597659351735530e+01
6.000000000000000000e+00 5.000000000000000000e+00 -6.198822169086025724e+01
6.000000000000000000e+00 6.000000000000000000e+00 -6.114427470433883371e+01
6.000000000000000000e+00 7.000000000000000000e+00 -6.026031604968711974e+01
6.000000000000000000e+00 8.000000000000000000e+00 -5.928797625964325846e+01
6.000000000000000000e+00 9.000000000000000000e+00 -5.811793442842790824e+01
6.000000000000000000e+00 1.000000000000000000e+01 -5.632417823846245142e+01
6.000000000000000000e+00 1.100000000000000000e+01 1.949704910829128934e+01
6.000000000000000000e+00 1.200000000000000000e+01 2.339194721288082590e+01
6.000000000000000000e+00 1.300000000000000000e+01 2.500837247324179913e+01
6.000000000000000000e+00 1.400000000000000000e+01 2.601114938559744871e+01
6.000000000000000000e+00 1.500000000000000000e+01 2.672165357847462985e+01
6.000000000000000000e+00 1.600000000000000000e+01 2.726388023205115374e+01
6.000000000000000000e+00 1.700000000000000000e+01 2.769536503449430143e+01
6.000000000000000000e+00 1.800000000000000000e+01 2.805001592285169210e+01
6.000000000000000000e+00 1.900000000000000000e+01 2.834673850149053109e+01
6.000000000000000000e+00 2.000000000000000000e+01 2.860072127328506042e+01
6.000000000000000000e+00 2.100000000000000000e+01 2.882048493980365933e+01
6.000000000000000000e+00 2.200000000000000000e+01 2.901445076312819893e+01
6.000000000000000000e+00 2.300000000000000000e+01 2.918666108864735165e+01
6.000000000000000000e+00 2.400000000000000000e+01 2.933810938372088728e+01
6.000000000000000000e+00 2.500000000000000000e+01 2.947588422252889373e+01
6.000000000000000000e+00 2.600000000000000000e+01 2.959766382200551860e+01
6.000000000000000000e+00 2.700000000000000000e+01 2.971053548985702264e+01
6.000000000000000000e+00 2.800000000000000000e+01 2.981401316684405600e+01
6.000000000000000000e+00 2.900000000000000000e+01 2.990794775978470454e+01
7.000000000000000000e+00 0.000000000000000000e+00 -6.586640284929384848e+01
7.000000000000000000e+00 1.000000000000000000e+00 -6.495258219412765754e+01
7.000000000000000000e+00 2.000000000000000000e+00 -6.407165192224860562e+01
7.000000000000000000e+00 3.000000000000000000e+00 -6.321319860278885727e+01
7.000000000000000000e+00 4.000000000000000000e+00 -6.236507367182168338e+01
